,tags_overall,f1-score,precision,recall,support,model_name,model_type
125,SYM,0.9953051643192488,1.0,0.9906542056074766,428.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
126,UH,0.8,0.6666666666666666,1.0,2.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
127,VB,0.9652473387601754,0.9626854020296643,0.9678229477319102,6371.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
128,WH,0.8444444444444446,0.9268292682926829,0.7755102040816326,49.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
129,X,0.33928571428571425,0.6551724137931034,0.2289156626506024,83.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
130,Z,0.9978894858019954,0.9976980625359678,0.9980809825369412,5211.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
131,fw,0.0,0.0,0.0,0.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
132,macro avg,0.8643613196956057,0.8821554667143549,0.8597672853920062,50893.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
133,micro avg,0.9547678462656948,0.9547678462656948,0.9547678462656948,50893.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
134,weighted avg,0.9542171388858302,0.9542786527560164,0.9547678462656948,50893.0,crf-with-prefix-fold01-seed42.joblib,crf-with-prefix
135,CC,0.975329503210544,0.9823008849557522,0.9684563758389262,1490.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
136,CD,0.979198659779422,0.9747081712062255,0.9837307152875177,3565.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
137,DT,0.946236559139785,0.9166666666666666,0.9777777777777776,90.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
138,FW,0.7712895377128953,0.8684931506849315,0.6936542669584245,457.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
139,IN,0.9379515999541232,0.9387052341597796,0.93719917487967,4363.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
140,JJ,0.8695652173913044,0.9081081081081082,0.8341608738828202,2014.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
141,MD,0.9822852081488044,0.9822852081488044,0.9822852081488044,1129.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
142,NEG,0.9712460063897764,0.9712460063897764,0.9712460063897764,313.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
143,NN,0.9499345938875012,0.9407238753238596,0.9593274619695756,12490.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
144,NND,0.9034482758620691,0.9323843416370108,0.8762541806020067,299.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
145,NNP,0.9560108687669824,0.9550990462215699,0.9569244339900028,6802.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
146,OD,0.8270676691729323,0.9016393442622952,0.7638888888888888,144.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
147,PR,0.9903359410952601,0.9880624426078972,0.9926199261992621,1084.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
148,PRP,0.9883495145631068,0.9877102199223804,0.9889896373056994,1544.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
149,RB,0.9044193216855086,0.9214659685863874,0.887991927346115,991.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
150,RP,0.9629629629629628,0.975,0.951219512195122,41.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
151,SC,0.9255540822125404,0.925378787878788,0.9257294429708224,2639.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
152,SYM,0.992465016146394,1.0,0.9850427350427352,468.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
153,UH,0.7692307692307693,1.0,0.625,8.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
154,VB,0.9649503722084368,0.9556135770234988,0.9744714173844948,6385.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
155,WH,0.7157894736842105,0.8717948717948718,0.6071428571428571,56.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
156,X,0.3595505617977528,0.8,0.2318840579710145,69.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
157,Z,0.9975420684439404,0.9971649971649972,0.9979194250047286,5287.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
158,fw,0.0,0.0,0.0,0.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
159,macro avg,0.8600297409769593,0.9039396209476501,0.8363715126323767,51728.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
160,micro avg,0.9545893906588307,0.9545893906588307,0.9545893906588307,51728.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
161,weighted avg,0.953904607437178,0.9541281334990476,0.9545893906588307,51728.0,crf-with-prefix-fold02-seed29.joblib,crf-with-prefix
162,CC,0.9761580381471391,0.9828532235939644,0.9695534506089308,1478.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
163,CD,0.9801509644953872,0.9768737809974924,0.9834502103786816,3565.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
164,DT,0.9365079365079364,0.8939393939393939,0.9833333333333332,60.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
